X,Y,address,adm1_boundary,adm2_boundary
90.8654163,23.2412501,হাজীগঞ্জ,Chittagong,Chandpur
90.6404163,23.2162501,চাঁদপুর সদর,Chittagong,Chandpur
90.8654163,23.2329168,হাজীগঞ্জ,Chittagong,Chandpur
90.832083,23.4412501,কচুয়া,Chittagong,Chandpur
90.6654163,23.2079168,চাঁদপুর,Chittagong,Chandpur
90.8404163,23.4412501,"গৌরীপুর কচুয়া রোড, কচুয়া",Chittagong,Chandpur
90.6904163,23.4829168,উত্তর মতলব,Chittagong,Chandpur
90.6654163,23.2412501,চাঁদপুর সদর,Chittagong,Chandpur
90.6987496,23.1745834,চাঁদপুর সদর,Chittagong,Chandpur
90.6737496,23.2495834,চাঁদপুর সদর,Chittagong,Chandpur
90.7487496,23.4079168,উত্তর মতলব,Chittagong,Chandpur
90.6654163,23.0912501,হাইমচর,Chittagong,Chandpur
90.707083,23.2579168,চাঁদপুর সদর,Chittagong,Chandpur
90.6404163,23.2245834,"Mercatij Road, Chandpur, BGD",Dhaka,Chandpur
92.032083,22.2162501,ছাগলনাইয়া,Chittagong,Chittagong
92.007083,22.2245834,ছাগলনাইয়া,Chittagong,Chittagong
91.8154163,22.4245834,হাটহাজারী,Chittagong,Chittagong
91.6987496,22.9829168,ফটিকছড়ি,Chittagong,Chittagong
92.0154163,22.2412501,ছাগলনাইয়া,Chittagong,Chittagong
92.032083,22.2245834,ছাগলনাইয়া,Chittagong,Chittagong
92.0237496,22.2329168,"ঢাকা-চিটাগং হাইওয়ে, ছাগলনাইয়া",Chittagong,Chittagong
92.0404163,22.2162501,ছাগলনাইয়া,Chittagong,Chittagong
91.832083,22.3829168,চট্রগ্রাম,Chittagong,Chittagong
91.882083,22.3079168,পটিয়া,Chittagong,Chittagong
91.8237496,22.3829168,চট্রগ্রাম,Chittagong,Chittagong
91.8404163,22.3662501,চট্রগ্রাম,Chittagong,Chittagong
91.8737496,22.3079168,পটিয়া,Chittagong,Chittagong
92.0237496,22.2412501,ছাগলনাইয়া,Chittagong,Chittagong
91.9737496,22.4495834,রাউজান,Chittagong,Chittagong
91.8404163,22.4079168,চট্রগ্রাম,Chittagong,Chittagong
91.982083,22.4495834,রাউজান,Chittagong,Chittagong
91.9737496,22.4579168,রাউজান,Chittagong,Chittagong
91.857083,22.3162501,পটিয়া,Chittagong,Chittagong
91.9737496,22.4662501,রাউজান,Chittagong,Chittagong
91.8237496,22.4079168,চট্রগ্রাম,Chittagong,Chittagong
92.0154163,22.1912501,ছাগলনাইয়া,Chittagong,Chittagong
91.8237496,22.3912501,"হাটহাজারী রাঙ্গামাটি রোড, চট্রগ্রাম",Chittagong,Chittagong
91.9654163,22.4662501,রাউজান,Chittagong,Chittagong
91.982083,22.3079168,পটিয়া,Chittagong,Chittagong
91.9737496,22.2995834,পটিয়া,Chittagong,Chittagong
91.8404163,22.3829168,চট্রগ্রাম,Chittagong,Chittagong
92.0654163,22.1245834,সাতকানিয়া,Chittagong,Chittagong
91.8487496,22.3829168,চট্রগ্রাম,Chittagong,Chittagong
91.9654163,22.4495834,রাউজান,Chittagong,Chittagong
88.7987497,23.5329168,দামুরহুদা,Khulna,Chuadanga
88.807083,23.5162501,দামুরহুদা,Khulna,Chuadanga
88.807083,23.5245834,দামুরহুদা,Khulna,Chuadanga
91.0987496,23.4745834,বুড়িচং,Chittagong,Comilla
91.0987496,23.4829168,বুড়িচং,Chittagong,Comilla
90.857083,23.5245834,দাউদকান্দি,Chittagong,Comilla
91.0654163,23.5579168,"Babur Bazar Road, Burichang, BGD",Chittagong,Comilla
90.9987496,23.4829168,চান্দিনা,Chittagong,Comilla
90.9987496,23.6662501,মুরাদনগর,Chittagong,Comilla
91.1237496,23.4745834,কুমিল্লা সদর,Chittagong,Comilla
91.0654163,23.4829168,বুড়িচং,Chittagong,Comilla
90.9987496,23.6245834,দেবিদ্বার,Chittagong,Comilla
90.7987496,23.5329168,দাউদকান্দি,Chittagong,Comilla
90.8487496,23.7245834,হোমনা,Chittagong,Comilla
91.0404163,23.4495834,চান্দিনা,Chittagong,Comilla
91.1237496,23.5495834,বুড়িচং,Chittagong,Comilla
91.0154163,23.4912501,দেবিদ্বার,Chittagong,Comilla
91.0404163,23.4829168,বুড়িচং,Chittagong,Comilla
90.9654163,23.6162501,দেবিদ্বার,Chittagong,Comilla
90.9737496,23.5995834,দেবিদ্বার,Chittagong,Comilla
91.0404163,23.4745834,বুড়িচং,Chittagong,Comilla
91.007083,23.4912501,চান্দিনা,Chittagong,Comilla
